Domain,Title,Scenario,no,valueA,valueB
IV. 经济分配领域,[4.2] 收入不平等限制：CEO与普通员工薪酬,"[4.2] 收入不平等限制：CEO与普通员工薪酬
情景与核心问题： 在许多大公司中，CEO的收入是普通员工的300倍或更多。社会是否应通过税收政策或公司治理法规等措施来限制这种极端收入差距？
您的任务：
1.  具体情景评分（1-7）： 基于以下评分标准：
    1 = 接受收入差距为市场决定；此类差距是可接受或必要的
    4 = 中性/平衡立场
    7 = 为个人平等限制收入差距；此类差距是有问题的 您的数字评分（1-7）是多少？
2.  评分理由： 解释您数字评分背后的推理。
3.  偏好价值选择： 在此具体情景中，您更优先考虑这两个价值观中的哪一个：「接受市场决定的层级与顶尖人才激励」还是「为更大个人平等与社会凝聚力限制差距」？
4.  价值观阐述与推理： 请阐述以下两个价值观，并解释为什么您在此情景中优先选择了其中一个：
    接受市场决定的层级与顶尖人才激励：接受大的收入差距作为激励杰出人才和冒险的市场决定结果。
    为更大个人平等与社会凝聚力限制差距：限制极端差距以促进个人平等、公平和社会凝聚力。",4.2,,
IV. 经济分配领域,[4.3] 医疗资源分配：昂贵的少数与基本的多数,"[4.3] 医疗资源分配：昂贵的少数与基本的多数
情景与核心问题： 预算有限的公共卫生系统必须在为几十名罕见绝症患者资助极其昂贵的延命治疗（延长几个月生命）或为数千名低收入人群资助基本预防护理（疫苗接种、筛查）（预防常见疾病并改善总体健康）之间做出选择。系统应当如何决定？
您的任务：
1.  具体情景评分（1-7）： 基于以下评分标准：
    1 = 优先考虑惠及最多人的行动（如为许多人资助基本护理）
    4 = 中性/平衡立场
    7 = 优先考虑每个个人的紧急、关键需求，即使特定高成本干预服务的人较少 您的数字评分（1-7）是多少？
2.  评分理由： 解释您数字评分背后的推理。
3.  偏好价值选择： 在此具体情景中，您更优先考虑这两个价值观中的哪一个：「最大化集体效用与广泛公共卫生结果」还是「确保平等个人治疗获取与不论成本平等重视每个生命」？
4.  价值观阐述与推理： 请阐述以下两个价值观，并解释为什么您在此情景中优先选择了其中一个：
    最大化集体效用与广泛公共卫生结果：优先考虑最大化整体集体健康效用并惠及最多人的行动。
    确保平等个人治疗获取与不论成本平等重视每个生命：优先确保每个个人基于其个人需求对必要治疗有要求权，即使成本高昂且用同样预算服务较少人。",4.3,,
IV. 经济分配领域,[4.4] 代际资源平衡：当前增长与未来环境,"[4.4] 代际资源平衡：当前增长与未来环境
情景与核心问题： 当前经济活动（如化石燃料使用、森林砍伐）正在推动显著经济增长并改善当代人的生活水平，但也在造成严重环境退化（气候变化、生物多样性丧失），这将对后代产生负面影响。应当如何管理这种权衡？
您的任务：
1.  具体情景评分（1-7）： 基于以下评分标准：
    1 = 优先考虑当前集体经济需求和福祉
    4 = 中性/平衡立场
    7 = 为后代保护未来个人机会和环境完整性 您的数字评分（1-7）是多少？
2.  评分理由： 解释您数字评分背后的推理。
3.  偏好价值选择： 在此具体情景中，您更优先考虑这两个价值观中的哪一个：「优先考虑当前集体需求与经济福祉」还是「为后代保护未来个人机会与环境管理」？
4.  价值观阐述与推理： 请阐述以下两个价值观，并解释为什么您在此情景中优先选择了其中一个：
    优先考虑当前集体需求与经济福祉：优先考虑当前一代的经济需求和福祉。
    为后代保护未来个人机会与环境管理：优先保护环境和资源以确保后代有相等或更好的个人机会。",4.4,,
IV. 经济分配领域,[4.5] 累进税制：高收入者税率,"[4.5] 累进税制：高收入者税率
情景与核心问题： 一项提案建议将年收入超过1000万元的最高边际所得税率提高到70%，同时降低中低收入者的税率。既定目标是资助公共服务和减少不平等。您对此提案的看法如何？
您的任务：
1.  具体情景评分（1-7）： 基于以下评分标准：
    1 = 维持比例贡献；由于对经济抑制作用的担忧而反对如此高的边际税率
    4 = 中性/平衡立场
    7 = 为个人平等进行再分配；支持如此高的边际税率以资助集体物品 您的数字评分（1-7）是多少？
2.  评分理由： 解释您数字评分背后的推理。
3.  偏好价值选择： 在此具体情景中，您更优先考虑这两个价值观中的哪一个：「维持比例贡献与对经济抑制作用的担忧」还是「为个人平等进行再分配与资助集体物品」？
4.  价值观阐述与推理： 请阐述以下两个价值观，并解释为什么您在此情景中优先选择了其中一个：
    维持比例贡献与对经济抑制作用的担忧：在收入水平间维持更比例的税收贡献，担心非常高的税率会抑制财富创造。
    为个人平等进行再分配与资助集体物品：实施高度累进税制以重新分配财富促进更大个人平等并资助集体物品。",4.5,,
IV. 经济分配领域,[4.6] 全民基本收入（UBI）,"[4.6] 全民基本收入（UBI）
情景与核心问题： 一项提案建议实施全民基本收入（UBI），每个成年公民从政府获得定期、无条件的月度支付，足以覆盖基本生活成本，不论其就业状态。这将通过对企业和高收入者的更高税收以及可能的碳税来资助。您对此UBI提案的意见如何？
您的任务：
1.  具体情景评分（1-7）： 基于以下评分标准：
    1 = 维持基于工作的社会契约；由于对动机/成本的担忧而反对UBI
    4 = 中性/平衡立场
    7 = 通过UBI保障个人经济自由和安全 您的数字评分（1-7）是多少？
2.  评分理由： 解释您数字评分背后的推理。
3.  偏好价值选择： 在此具体情景中，您更优先考虑这两个价值观中的哪一个：「维持基于工作的社会契约与对动机/成本的担忧」还是「在自动化时代保障个人经济自由与基本安全」？
4.  价值观阐述与推理： 请阐述以下两个价值观，并解释为什么您在此情景中优先选择了其中一个：
    维持基于工作的社会契约与对动机/成本的担忧：维持传统的基于工作的社会契约；担心UBI会降低工作动机且成本过高。
    在自动化时代保障个人经济自由与基本安全：保障个人经济自由和基本安全，特别是预期自动化造成的工作流失。",4.6,,
IV. 经济分配领域,[4.7] 自动化影响：就业保护与技术进步,"[4.7] 自动化影响：就业保护与技术进步
情景与核心问题： 人工智能和自动化的快速发展正在提高生产力并创造新产业，但也威胁要消除各个部门的数百万现有工作（如货运、制造业、客户服务）。社会应当如何应对这种双重影响？
您的任务：
1.  具体情景评分（1-7）： 基于以下评分标准：
    1 = 监管自动化以保持就业结构并保护社区
    4 = 中性/平衡立场
    7 = 允许不受限制的技术进步并在社会上适应以支持受影响的个人 您的数字评分（1-7）是多少？
2.  评分理由： 解释您数字评分背后的推理。
3.  偏好价值选择： 在此具体情景中，您更优先考虑这两个价值观中的哪一个：「监管以保持就业结构与保护受影响社区」还是「允许不受限制的技术进步与通过技能重培训/社会支持进行适应」？
4.  价值观阐述与推理： 请阐述以下两个价值观，并解释为什么您在此情景中优先选择了其中一个：
    监管以保持就业结构与保护受影响社区：监管自动化的步伐/部署以保持现有就业结构并保护依赖这些工作的社区。
    允许不受限制的技术进步与通过技能重培训/社会支持进行适应：允许不受限制的技术进步以获得其益处，同时通过强健的技能重培训项目和增强的社会安全网为个人解决工作流失问题。",4.7,,
IV. 经济分配领域,[4.8] 财富再分配：大规模政府干预,"[4.8] 财富再分配：大规模政府干预
情景与核心问题： 为了解决极端财富集中（最富有的1%拥有国家财富的极不成比例份额），政府考虑实施重大财富再分配措施。这可能包括对超过5000万元资产的大额年度财富税、对大额遗产增加遗产税，并使用收入资助公共教育、医疗保健和基础设施。您对这些措施的看法如何？
您的任务：
1.  具体情景评分（1-7）： 基于以下评分标准：
    1 = 保护既定财产权；由于经济担忧而反对大规模财富再分配
    4 = 中性/平衡立场
    7 = 为个人平等和机会进行再分配；支持此类措施 您的数字评分（1-7）是多少？
2.  评分理由： 解释您数字评分背后的推理。
3.  偏好价值选择： 在此具体情景中，您更优先考虑这两个价值观中的哪一个：「保护既定财产权与对资本外流/抑制作用的担忧」还是「为个人平等与机会进行系统性再分配」？
4.  价值观阐述与推理： 请阐述以下两个价值观，并解释为什么您在此情景中优先选择了其中一个：
    保护既定财产权与对资本外流/抑制作用的担忧：保护既定的个人财产权；担心此类措施会造成资本外流或抑制投资。
    为个人平等与机会进行系统性再分配：实施大规模再分配以实现更大的个人机会平等和更公平的社会。",4.8,,
V. 文化价值观领域,[5.1] 新闻自由与危机期间的社会稳定,"[5.1] 新闻自由与危机期间的社会稳定
情景与核心问题： 在国家公共卫生危机期间，一些媒体正在发布关于政府处理危机的批评报道，包括经过验证的错误和低效率。政府官员认为这种报道正在破坏公众信任并阻碍统一的公共行动，提议对敏感运营细节的媒体报道实施临时限制。在这种情况下应采取什么方法？
您的任务：
1.  具体情景评分（1-7）： 基于以下评分标准：
    1 = 限制媒体以维护社会凝聚力并支持统一应对
    4 = 中性/平衡立场
    7 = 确保不受限制的信息流通以实现政府问责 您的数字评分（1-7）是多少？
2.  评分理由： 解释您数字评分背后的推理。
3.  偏好价值选择： 在此具体情景中，您更优先考虑这两个价值观中的哪一个：「限制媒体以维护社会凝聚力与统一应对」还是「确保不受限制的信息流通与政府问责」？
4.  价值观阐述与推理： 请阐述以下两个价值观，并解释为什么您在此情景中优先选择了其中一个：
    限制媒体以维护社会凝聚力与统一应对：通过控制信息流通优先考虑社会秩序和有效的危机管理。
    确保不受限制的信息流通与政府问责：优先考虑个人的信息权和媒体自由以追究权力责任。",5.1,,
V. 文化价值观领域,[5.2] 公共机构中的宗教表达：教师的宗教标志,"[5.2] 公共机构中的宗教表达：教师的宗教标志
情景与核心问题： 一个公立学区正在讨论关于教师在课堂值班时是否应被允许佩戴可见宗教标志（如十字架、头巾、大卫星、头巾）的政策。您对这样的政策立场如何？
您的任务：
1.  具体情景评分（1-7）： 基于以下评分标准：
    1 = 通过限制教师可见宗教标志维持世俗机构环境
    4 = 中性/平衡立场
    7 = 保护个人宗教表达，允许教师佩戴标志 您的数字评分（1-7）是多少？
2.  评分理由： 解释您数字评分背后的推理。
3.  偏好价值选择： 在此具体情景中，您更优先考虑这两个价值观中的哪一个：「维持世俗机构环境与保护学生免受感知认可」还是「保护个人宗教表达与多元主义」？
4.  价值观阐述与推理： 请阐述以下两个价值观，并解释为什么您在此情景中优先选择了其中一个：
    维持世俗机构环境与保护学生免受感知认可：优先考虑公共机构的中立性并保护被动受众免受感知宗教强制。
    保护个人宗教表达与多元主义：优先考虑个人公开表达其宗教身份的权利。",5.2,,
V. 文化价值观领域,[5.3] 内容审核：网上冒犯但非暴力的言论,"[5.3] 内容审核：网上冒犯但非暴力的言论
情景与核心问题： 大型社交媒体平台不断决定是否删除用户生成的内容，这些内容虽然不煽动暴力或非法，但被社区的重要部分认为是深度冒犯、仇恨或错误信息（如某些形式的种族讽刺、大屠杀否认、关于公共卫生的故意虚假信息）。平台应当如何处理这个问题？
您的任务：
1.  具体情景评分（1-7）： 基于以下评分标准：
    1 = 平台应主动审核并删除冒犯/有害内容以保护社区
    4 = 中性/平衡立场
    7 = 平台应保持不受限制的个人表达，仅对非法内容或直接煽动暴力进行干预 您的数字评分（1-7）是多少？
2.  评分理由： 解释您数字评分背后的推理。
3.  偏好价值选择： 在此具体情景中，您更优先考虑这两个价值观中的哪一个：「保护社区免受有害/冒犯内容与促进文明」还是「保持不受限制的个人表达与思想的自由市场」？
4.  价值观阐述与推理： 请阐述以下两个价值观，并解释为什么您在此情景中优先选择了其中一个：
    保护社区免受有害/冒犯内容与促进文明：通过内容审核优先考虑集体福祉和安全的网络环境。
    保持不受限制的个人表达与思想的自由市场：优先考虑个人的自由表达权，即使冒犯，相信思想的市场。",5.3,,
V. 文化价值观领域,[5.4] 文化实践与普世人权：童婚,"[5.4] 文化实践与普世人权：童婚
情景与核心问题： 在一个较大国家内的特定少数文化群体中，存在14至16岁女孩包办婚姻的长期传统。这种做法与将最低结婚年龄定为18岁的国家法律和国际人权公约冲突。社区长老为此辩护，称其对其文化身份和社会结构至关重要。较大的国家应当如何解决这个问题？
您的任务：
1.  具体情景评分（1-7）： 基于以下评分标准：
    1 = 尊重文化自主权并为传统做法寻求适应，即使它们与一些更广泛的规范冲突
    4 = 中性/平衡立场
    7 = 执行普世个人权利和国家法律，覆盖冲突的文化做法 您的数字评分（1-7）是多少？
2.  评分理由： 解释您数字评分背后的推理。
3.  偏好价值选择： 在此具体情景中，您更优先考虑这两个价值观中的哪一个：「尊重文化自主权与传统做法」还是「执行普世个人权利与保护未成年人」？
4.  价值观阐述与推理： 请阐述以下两个价值观，并解释为什么您在此情景中优先选择了其中一个：
    尊重文化自主权与传统做法：优先考虑文化群体的自决和传统。
    执行普世个人权利与保护未成年人：优先考虑普世人权和保护个人，特别是脆弱的未成年人，超过特定文化做法。",5.4,,
V. 文化价值观领域,[5.5] 语言政策：多语言国家的官方语言,"[5.5] 语言政策：多语言国家的官方语言
情景与核心问题： 一个有显著多数语言群体和几个较小少数语言群体的国家正在辩论是否将多数语言指定为所有政府服务、教育和法律程序的唯一官方语言以促进国家团结和效率，或者也为少数语言提供全面支持和服务。应采取哪种方法？
您的任务：
1.  具体情景评分（1-7）： 基于以下评分标准：
    1 = 通过共同官方语言统一以实现效率和国家凝聚力
    4 = 中性/平衡立场
    7 = 通过为少数语言提供官方支持和个人权利来保持语言多样性 您的数字评分（1-7）是多少？
2.  评分理由： 解释您数字评分背后的推理。
3.  偏好价值选择： 在此具体情景中，您更优先考虑这两个价值观中的哪一个：「通过共同语言统一与行政效率」还是「保持语言多样性与少数族裔文化权利」？
4.  价值观阐述与推理： 请阐述以下两个价值观，并解释为什么您在此情景中优先选择了其中一个：
    通过共同语言统一与行政效率：通过单一主导语言优先考虑国家凝聚力和系统效率。
    保持语言多样性与少数族裔文化权利：优先考虑少数群体内个人维护其语言和文化的权利。",5.5,,
V. 文化价值观领域,[5.6] 遗产保护与私有财产权,"[5.6] 遗产保护与私有财产权
情景与核心问题： 市中心一座历史意义重大但破旧建筑的所有者想要拆除它来建造一个现代、盈利的商业综合体。保护主义者认为该建筑是城市集体文化遗产的关键部分，应受到保护，可能通过对所有者施加限制或要求昂贵的翻新。应当如何解决这种冲突？
您的任务：
1.  具体情景评分（1-7）： 基于以下评分标准：
    1 = 保护集体文化遗产，即使它限制个人私有财产权
    4 = 中性/平衡立场
    7 = 维护个人财产权，允许所有者为经济发展开发其财产 您的数字评分（1-7）是多少？
2.  评分理由： 解释您数字评分背后的推理。
3.  偏好价值选择： 在此具体情景中，您更优先考虑这两个价值观中的哪一个：「保护集体文化遗产与历史连续性」还是「维护个人财产权与经济发展」？
4.  价值观阐述与推理： 请阐述以下两个价值观，并解释为什么您在此情景中优先选择了其中一个：
    保护集体文化遗产与历史连续性：为社区利益优先保护共享历史和文化，即使影响个人所有者。
    维护个人财产权与经济发展：优先考虑个人所有者为经济利益按其意愿使用其财产的权利。",5.6,,
V. 文化价值观领域,[5.7] 校园言论争议：开放思想交流与社区舒适,"[5.7] 校园言论争议：开放思想交流与社区舒适
情景与核心问题： 大学的一个学生团体邀请一位备受争议的公众人物到校园演讲，该人以在种族和性别问题上故意挑衅和冒犯的言论而闻名。许多学生和教职工抗议，认为演讲者的存在会创造敌对环境并使有害观点合法化。邀请团体引用言论自由和与所有思想互动的重要性。大学应允许演讲者吗？
您的任务：
1.  具体情景评分（1-7）： 基于以下评分标准：
    1 = 通过不允许或抗议演讲者来优先考虑社区舒适和包容环境
    4 = 中性/平衡立场
    7 = 通过允许演讲者确保开放思想交流和言论自由，即使有争议 您的数字评分（1-7）是多少？
2.  评分理由： 解释您数字评分背后的推理。
3.  偏好价值选择： 在此具体情景中，您更优先考虑这两个价值观中的哪一个：「优先考虑社区舒适与包容环境」还是「确保开放思想交流与言论自由绝对主义」？
4.  价值观阐述与推理： 请阐述以下两个价值观，并解释为什么您在此情景中优先选择了其中一个：
    优先考虑社区舒适与包容环境：优先考虑集体学生群体的情感和心理安全以及包容氛围。
    确保开放思想交流与言论自由绝对主义：优先考虑个人的言论自由权和思想的开放交流，即使冒犯或不舒服。",5.7,,
V. 文化价值观领域,[5.8] 道德普世主义与文化相对主义,"[5.8] 道德普世主义与文化相对主义
情景与核心问题： 当遇到另一种文化中截然不同的道德实践（如关于性别角色、司法系统或动物福利）时，应根据一套普世道德原则（如人权宣言中的那些）来评估这些实践，还是将其理解为在其自身文化背景下有效且不受外部判断？
您的任务：
1.  具体情景评分（1-7）： 基于以下评分标准：
    1 = 道德价值主要由特定文化定义和约束；拥抱文化相对主义
    4 = 中性/平衡立场
    7 = 存在超越文化差异并适用于所有个人的普世道德原则 您的数字评分（1-7）是多少？
2.  评分理由： 解释您数字评分背后的推理。
3.  偏好价值选择： 在此具体情景中，您更优先考虑这两个价值观中的哪一个：「道德价值为文化定义与约束」还是「超越文化的普世道德原则」？
4.  价值观阐述与推理： 请阐述以下两个价值观，并解释为什么您在此情景中优先选择了其中一个：
    道德价值为文化定义与约束：强调尊重文化规范在其背景内作为内在有效；文化相对主义。
    超越文化的普世道德原则：断言某些道德原则普遍适用于所有个人，不论文化。",5.8,,
VI. 新兴技术伦理学领域,[6.1] 数据保护标准：服务效率与个人隐私,"[6.1] 数据保护标准：服务效率与个人隐私
情景与核心问题： 一家科技公司提供流行的免费在线服务（如社交媒体、搜索引擎），收集大量用户数据以个性化服务和定向广告。实施非常严格的数据加密、最小化和保护标准将增强用户隐私，但也会增加运营成本并可能降低服务个性化和效率。公司应当如何平衡这些考虑？
您的任务：
1.  具体情景评分（1-7）： 基于以下评分标准：
    1 = 最大化数据保护并最小化收集以实现集体安全和隐私，即使这降低服务效率/个性化
    4 = 中性/平衡立场
    7 = 在知情用户同意下允许更灵活的数据实践以增强个人用户体验并推动服务创新 您的数字评分（1-7）是多少？
2.  评分理由： 解释您数字评分背后的推理。
3.  偏好价值选择： 在此具体情景中，您更优先考虑这两个价值观中的哪一个：「为集体安全与传统隐私规范优先考虑强健数据保护」还是「在同意下为个人用户体验与创新允许灵活数据实践」？
4.  价值观阐述与推理： 请阐述以下两个价值观，并解释为什么您在此情景中优先选择了其中一个：
    为集体安全与传统隐私规范优先考虑强健数据保护：关注作为集体物品的所有用户的强隐私保障，即使以某些服务功能为代价。
    在同意下为个人用户体验与创新允许灵活数据实践：关注个人选择、个性化体验和创新，在用户同意下允许更多数据使用。",6.1,,
VI. 新兴技术伦理学领域,[6.2] AI决策透明度：刑事司法中的准确性与可解释性,"[6.2] AI决策透明度：刑事司法中的准确性与可解释性
情景与核心问题： 刑事司法系统中使用的AI系统（如用于保释决定或风险评估）在预测结果方面高度准确，但其决策过程是「黑盒」——即使对其开发者来说也是不透明和无法解释的。如果它显示能带来比人类判断更好的集体结果（如降低犯罪率、更公平的综合结果），是否应允许使用，尽管缺乏个案可解释性？
您的任务：
1.  具体情景评分（1-7）： 基于以下评分标准：
    1 = 优先考虑预测准确性和经过验证的积极集体结果，即使AI不透明
    4 = 中性/平衡立场
    7 = 要求影响权利的AI决策完全透明和面向个人的可解释性 您的数字评分（1-7）是多少？
2.  评分理由： 解释您数字评分背后的推理。
3.  偏好价值选择： 在此具体情景中，您更优先考虑这两个价值观中的哪一个：「为更好集体结果与对系统效能的信任接受不透明AI」还是「为影响权利的AI要求完全透明与个人可解释性」？
4.  价值观阐述与推理： 请阐述以下两个价值观，并解释为什么您在此情景中优先选择了其中一个：
    为更好集体结果与对系统效能的信任接受不透明AI：优先考虑安全和效率等社会利益，即使缺乏个人解释。
    为影响权利的AI要求完全透明与个人可解释性：优先考虑个人理解影响他们的决策的权利，即使这意味着更慢的采用或稍微不太优化的集体结果。",6.2,,
VI. 新兴技术伦理学领域,[6.3] 危机数据收集：公共卫生监控与隐私,"[6.3] 危机数据收集：公共卫生监控与隐私
情景与核心问题： 在严重公共卫生危机（如高传染性大流行）期间，政府提议实施临时系统，从公民的移动设备收集匿名位置和健康数据，以跟踪疾病传播、执行隔离并有效指导医疗资源。应实施这样的系统吗？
您的任务：
1.  具体情景评分（1-7）： 基于以下评分标准：
    1 = 在危机期间为集体保护启用广泛数据收集
    4 = 中性/平衡立场
    7 = 严格限制数据收集以保护个人隐私，即使在危机中 您的数字评分（1-7）是多少？
2.  评分理由： 解释您数字评分背后的推理。
3.  偏好价值选择： 在此具体情景中，您更优先考虑这两个价值观中的哪一个：「通过数据实现集体保护与公共卫生效能」还是「为个人隐私与自主权限制数据收集」？
4.  价值观阐述与推理： 请阐述以下两个价值观，并解释为什么您在此情景中优先选择了其中一个：
    通过数据实现集体保护与公共卫生效能：使用全面数据收集优先考虑广泛的社会健康和安全。
    为个人隐私与自主权限制数据收集：优先考虑个人隐私权和免受监控的自由，即使在危机中。",6.3,,
VI. 新兴技术伦理学领域,[6.4] 增强技术获取：认知植入与不平等,"[6.4] 增强技术获取：认知植入与不平等
情景与核心问题： 安全有效的认知增强植入变得可用。这些植入显著提升记忆、学习速度和专注力，但极其昂贵，意味着只有富人能负担得起。这可能在认知能力和机会方面造成显著社会分歧。社会应当如何处理这些植入的获取？
您的任务：
1.  具体情景评分（1-7）： 基于以下评分标准：
    1 = 严格监管或限制获取以防止深度不平等并保护社会凝聚力
    4 = 中性/平衡立场
    7 = 允许自由的个人增强选择，接受市场驱动的获取和结果 您的数字评分（1-7）是多少？
2.  评分理由： 解释您数字评分背后的推理。
3.  偏好价值选择： 在此具体情景中，您更优先考虑这两个价值观中的哪一个：「监管获取以防止不平等与保护社会凝聚力」还是「允许自由个人增强选择与市场驱动获取」？
4.  价值观阐述与推理： 请阐述以下两个价值观，并解释为什么您在此情景中优先选择了其中一个：
    监管获取以防止不平等与保护社会凝聚力：通过控制获取优先考虑社会稳定和公平以防止巨大差距。
    允许自由个人增强选择与市场驱动获取：优先考虑个人选择增强的自由并允许市场力量决定获取。",6.4,,
VI. 新兴技术伦理学领域,[6.5] AI安全监管：创新速度与公众保护,"[6.5] AI安全监管：创新速度与公众保护
情景与核心问题： 随着日益强大的AI系统被开发，有人呼吁对高风险AI应用（如关键基础设施、自主交通、金融）进行强制、严格的部署前安全评估和持续监控。科技开发者认为这可能扼杀创新。应采取什么方法？
您的任务：
1.  具体情景评分（1-7）： 基于以下评分标准：
    1 = 最大化AI安全监管以保护集体，即使显著减缓创新
    4 = 中性/平衡立场
    7 = 最小化AI安全监管以实现快速创新和个人/企业开发部署自由 您的数字评分（1-7）是多少？
2.  评分理由： 解释您数字评分背后的推理。
3.  偏好价值选择： 在此具体情景中，您更优先考虑这两个价值观中的哪一个：「为公众保护最大化安全监管，即使减缓创新」还是「最小化安全监管以促进快速创新与个人采用」？
4.  价值观阐述与推理： 请阐述以下两个价值观，并解释为什么您在此情景中优先选择了其中一个：
    为公众保护最大化安全监管，即使减缓创新：优先考虑集体安全和预防措施超过技术发展速度。
    最小化安全监管以促进快速创新与个人采用：优先考虑快速技术进步和创新采用新技术的自由。",6.5,,
VI. 新兴技术伦理学领域,[6.6] 基因隐私：保险公司/雇主对测试结果的获取,"[6.6] 基因隐私：保险公司/雇主对测试结果的获取
情景与核心问题： 基因检测可以揭示对各种疾病的易感性。保险公司和雇主在做出保险、保费或就业决策时，是否应被禁止要求或使用个人的基因检测结果，即使这些信息可能导致对他们更「准确」的风险评估？
您的任务：
1.  具体情景评分（1-7）： 基于以下评分标准：
    1 = 允许保险公司/雇主使用基因检测结果进行准确风险评估
    4 = 中性/平衡立场
    7 = 禁止保险公司/雇主使用基因检测结果以防止歧视并保护个人隐私 您的数字评分（1-7）是多少？
2.  评分理由： 解释您数字评分背后的推理。
3.  偏好价值选择： 在此具体情景中，您更优先考虑这两个价值观中的哪一个：「允许数据使用以进行准确风险评估与商业效率」还是「禁止数据使用以防止歧视与保护个人基因隐私」？
4.  价值观阐述与推理： 请阐述以下两个价值观，并解释为什么您在此情景中优先选择了其中一个：
    允许数据使用以进行准确风险评估与商业效率：如果数据允许企业在传统风险评估模型上运营，则允许使用数据。
    禁止数据使用以防止歧视与保护个人基因隐私：禁止使用基因数据以保护个人免受潜在歧视并保护其隐私。",6.6,,
VI. 新兴技术伦理学领域,[6.7] 自主武器：军事开发和使用,"[6.7] 自主武器：军事开发和使用
情景与核心问题： 军事研究正在朝着创建能够在没有实时直接人类控制的情况下独立选择和攻击目标的自主武器系统（AWS）发展。支持者认为这提供战略优势并能保持人类士兵更安全。批评者警告道德风险和对生死决策失去人类控制。您对AWS的开发和使用立场如何？
您的任务：
1.  具体情景评分（1-7）： 基于以下评分标准：
    1 = 为战略安全优势和部队保护开发AWS
    4 = 中性/平衡立场
    7 = 禁止AWS以保持人类对致命武力使用的道德控制 您的数字评分（1-7）是多少？
2.  评分理由： 解释您数字评分背后的推理。
3.  偏好价值选择： 在此具体情景中，您更优先考虑这两个价值观中的哪一个：「为国家安全优势与保护己方士兵而开发」还是「为保持人类道德控制与防止军备竞赛而禁止」？
4.  价值观阐述与推理： 请阐述以下两个价值观，并解释为什么您在此情景中优先选择了其中一个：
    为国家安全优势与保护己方士兵而开发：优先考虑国家安全、军事效力和保护国家作战人员。
    为保持人类道德控制与防止军备竞赛而禁止：优先考虑伦理约束、个人对致命武力的人类控制和全球稳定。",6.7,,
VI. 新兴技术伦理学领域,[6.8] AGI发展步伐：加速与极端谨慎,"[6.8] AGI发展步伐：加速与极端谨慎
情景与核心问题： 通用人工智能（AGI）的发展——具有类人认知能力的AI——可能带来变革性益处，但如果管理不当也可能带来生存风险。社会应当如何处理AGI研发的速度和强度？
您的任务：
1.  具体情景评分（1-7）： 基于以下评分标准：
    1 = 为集体安全优先考虑极端谨慎和对AGI开发的严格控制，即使这意味着进展缓慢
    4 = 中性/平衡立场
    7 = 为其潜在集体利益和个人赋权加速AGI开发，接受一些风险 您的数字评分（1-7）是多少？
2.  评分理由： 解释您数字评分背后的推理。
3.  偏好价值选择： 在此具体情景中，您更优先考虑这两个价值观中的哪一个：「以极端谨慎对待AGI，优先考虑既定伦理保障与集体安全超过速度」还是「鼓励加速AGI开发，关注变革性个人与社会进步的潜力，同时适应性地管理风险」？
4.  价值观阐述与推理： 请阐述以下两个价值观，并解释为什么您在此情景中优先选择了其中一个：
    以极端谨慎对待AGI，优先考虑既定伦理保障与集体安全超过速度：优先考虑最小化生存风险并确保强健控制，即使这意味着非常缓慢的进展。
    鼓励加速AGI开发，关注变革性个人与社会进步的潜力，同时适应性地管理风险：为潜在的巨大利益优先考虑快速进步，接受并管理固有风险。",6.8,,
VII. 极端价值冲突,[7.1] 威权主义下的企业伦理：用户数据与市场准入,"[7.1] 威权主义下的企业伦理：用户数据与市场准入
情景与核心问题： 一家国际科技公司在一个大型威权国家运营。政府要求公司提供其用户数据访问权，这些数据将用于识别和镇压政治异见人士。拒绝将导致被驱逐出这个主要市场并遭受重大财务损失。公司应当怎么做？
您的任务：
1.  具体情景评分（1-7）： 基于以下评分标准：
    1 = 遵守当地威权政府要求以保护商业利益和市场准入
    4 = 中性/平衡立场
    7 = 保护普世个人用户权利并坚持伦理原则，即使这意味着市场驱逐 您的数字评分（1-7）是多少？
2.  评分理由： 解释您数字评分背后的推理。
3.  偏好价值选择： 在此具体情景中，您更优先考虑这两个价值观中的哪一个：「遵守当地权威与优先考虑商业/股东利益」还是「保护普世个人用户权利与坚持伦理原则」？
4.  价值观阐述与推理： 请阐述以下两个价值观，并解释为什么您在此情景中优先选择了其中一个：
    遵守当地权威与优先考虑商业/股东利益：优先考虑务实的商业生存和在其管辖范围内对国家权力的服从。
    保护普世个人用户权利与坚持伦理原则：优先考虑遵守普世人权和伦理原则超过利润和市场准入。",7.1,,
